UniqueID,Price,Distance,CarrierNum,Day,DayOfBooking
06_01_N4YBAA_43,129.25,986,1,3,7
10_01_N439AA_43,129.18,986,1,7,4
14_01_N466AA_43,130.06,986,1,4,1
18_01_N566AA_43,128.56,986,1,1,5
22_01_N547AA_43,128.28,986,1,5,2
26_01_N4XPAA_43,128.2,986,1,2,6
30_01_N4XVAA_43,130.55,986,1,6,3
03_01_N4WJAA_43,127.81,986,1,7,4
07_01_N434AA_43,128.89,986,1,4,1
11_01_N468AA_43,129.38,986,1,1,5
15_01_N501AA_43,128.17,986,1,5,2
19_01_N499AA_43,130.98,986,1,2,6
23_01_N520AA_43,131.32,986,1,6,3
27_01_N4UCAA_43,128.46,986,1,3,7
31_01_N4XGAA_43,128.34,986,1,7,4
04_01_N3FWAA_44,522.18,2422,1,1,5
08_01_N3JYAA_44,524.49,2422,1,5,2
12_01_N3MLAA_44,520.13,2422,1,2,6
16_01_N3CXAA_44,523.72,2422,1,6,3
20_01_N3JNAA_44,520.85,2422,1,3,7
25_01_N3MNAA_44,521.69,2422,1,1,5
29_01_N3CEAA_44,525.06,2422,1,5,2
02_01_N3KPAA_45,523.13,2422,1,6,3
06_01_N3LBAA_45,523.72,2422,1,3,7
10_01_N3ADAA_45,519.82,2422,1,7,4
14_01_N3MUAA_45,521.61,2422,1,4,1
18_01_N3GHAA_45,523.83,2422,1,1,5
22_01_N3DXAA_45,522.37,2422,1,5,2
28_01_N3CEAA_45,522.2,2422,1,4,1
01_01_N3JUAA_46,357.67,1829,1,5,2
02_01_N3LTAA_47,360.13,1829,1,6,3
06_01_N3LKAA_47,360.21,1829,1,3,7
10_01_N3MKAA_47,360.1,1829,1,7,4
14_01_N3LRAA_47,359.92,1829,1,4,1
18_01_N3LCAA_47,360.51,1829,1,1,5
22_01_N3LNAA_47,358.28,1829,1,5,2
26_01_N3MHAA_47,359.35,1829,1,2,6
30_01_N3MEAA_47,357.57,1829,1,6,3
03_01_N877AA_48,114.47,868,1,7,4
07_01_N883AA_48,118.38,868,1,4,1
11_01_N870AA_48,114.93,868,1,1,5
15_01_N877AA_48,114.4,868,1,5,2
19_01_N883AA_48,117.91,868,1,2,6
23_01_N882AA_48,113.82,868,1,6,3
27_01_N883AA_48,116.67,868,1,3,7
31_01_N880AA_48,113.58,868,1,7,4
05_01_N4WKAA_50,81.16,550,1,2,6
10_01_N4YBAA_50,77.82,550,1,7,4
14_01_N4XTAA_50,79.21,550,1,4,1
